fecha_entrada,fecha_salida,activo,lado,precio_entrada,precio_salida,tamano_posicion,pnl_usd,pnl_pct,temporalidad,condicion_mercado,fuente,trader_id,granularidad,confidence,notas,trades_total,profit_factor,expected_payoff,btc_deals,sol_deals,url
2023.10.20 01:16:40,,CRYPTO,mixed,,,,7 876.53 EUR,1 555.61%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/138420,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,3 171,1.43,2.48 EUR,362,,https://www.mql5.com/en/signals/138420
2022.04.29 18:58:10,,BTCUSD,mixed,,,,1 163 609.01 HKD,2 562.51%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1506209,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,4 248,1.21,273.92 HKD,1366,,https://www.mql5.com/en/signals/1506209
2022.05.11 13:01:44,,CRYPTO,mixed,,,,119 532.21 USD,2 789.81%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1521998,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,1 633,1.29,73.20 USD,1344,,https://www.mql5.com/en/signals/1521998
2025.07.21 09:11:15,,CRYPTO,mixed,,,,4 113.01 EUR,623.41%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1719023,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,2 847,1.16,1.44 EUR,230,,https://www.mql5.com/en/signals/1719023
2022.10.05 18:41:59,,CRYPTO,mixed,,,,1 011.38 USD,278.17%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1733248,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,1 728,1.03,0.59 USD,,,https://www.mql5.com/en/signals/1733248
2022.10.11 09:11:04,,CRYPTO,mixed,,,,7 398.56 EUR,151.24%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1737977,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,7 979,1.18,0.93 EUR,49,,https://www.mql5.com/en/signals/1737977
2022.11.04 18:27:01,,BTCUSD,mixed,,,,10 329.36 USD,206.59%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1762388,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,949,1.30,10.88 USD,949,,https://www.mql5.com/en/signals/1762388
2023.01.01 14:41:34,,CRYPTO,mixed,,,,1 935.53 USD,318.16%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1815712,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,585,1.37,3.31 USD,356,,https://www.mql5.com/en/signals/1815712
2023.03.08 17:48:56,,CRYPTO,mixed,,,,1 995.88 USD,18 709.80%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1887334,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,1 380,2.01,1.45 USD,,,https://www.mql5.com/en/signals/1887334
2023.03.25 17:28:36,,CRYPTO,mixed,,,,2 943.91 EUR,235.22%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1905285,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,12 081,1.23,0.24 EUR,3,,https://www.mql5.com/en/signals/1905285
2025.12.02 02:50:53,,CRYPTO,mixed,,,,93 223.05 USD,1 447.63%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/1932739,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,13 926,1.48,6.69 USD,1,,https://www.mql5.com/en/signals/1932739
2023.08.22 01:02:23,,CRYPTO,mixed,,,,2 007.86 EUR,265.24%,intradia,tendencia,mql5-public,https://www.mql5.com/en/signals/2049326,signal_aggregate,media,Dato agregado de señal pública (no trade-by-trade).,799,1.48,2.51 EUR,367,,https://www.mql5.com/en/signals/2049326
